Date,Sunrise [h],Sunrise [min],Sunset [h],Sunset [min]
2024-12-01,7,23,15,26
2024-12-02,7,25,15,26
2024-12-03,7,26,15,25
2024-12-04,7,27,15,25
2024-12-05,7,28,15,24
2024-12-06,7,30,15,24
2024-12-07,7,31,15,23
2024-12-08,7,32,15,23
2024-12-09,7,33,15,23
2024-12-10,7,34,15,23
2024-12-11,7,35,15,23
2024-12-12,7,36,15,23
2024-12-13,7,37,15,23
2024-12-14,7,38,15,23
2024-12-15,7,39,15,23
2024-12-16,7,40,15,23
2024-12-17,7,40,15,23
2024-12-18,7,41,15,24
2024-12-19,7,42,15,24
2024-12-20,7,42,15,24
2024-12-21,7,43,15,25
2024-12-22,7,43,15,25
2024-12-23,7,44,15,26
2024-12-24,7,44,15,27
2024-12-25,7,44,15,27
2024-12-26,7,45,15,28
2024-12-27,7,45,15,29
2024-12-28,7,45,15,30
2024-12-29,7,45,15,31
2024-12-30,7,45,15,32
2024-12-31,7,45,15,33
